日期,品名,规格,材质,品牌,价格,地区,抓取时间,创建时间
2026-05-16,螺纹钢,Φ36-40,HRB400E,江苏镔鑫,3830,山东烟台,None,None
2026-05-16,螺纹钢,Φ36-40,HRB400E,莱钢,3640,山东烟台,None,None
2026-05-16,螺纹钢,Φ36-40,HRB400E,永锋,3640,山东烟台,None,None
2026-05-16,螺纹钢,Φ36-40,HRB400E,石横特钢,3640,山东烟台,None,None
2026-05-16,螺纹钢,Φ36-40,HRB400E,江苏镔鑫,3610,山东烟台,None,None
2026-05-16,螺纹钢,Φ36-40,HRB500E,莱钢,3850,山东烟台,None,None
2026-05-16,螺纹钢,Φ36-40,HRB500E,永锋,3850,山东烟台,None,None
2026-05-16,螺纹钢,Φ36-40,HRB500E,石横特钢,3850,山东烟台,None,None
2026-05-16,螺纹钢,Φ36-40,HRB500E,江苏镔鑫,3820,山东烟台,None,None
2026-05-16,螺纹钢,Φ36-40,HRB400E,莱钢,3650,山东烟台,None,None
2026-05-16,螺纹钢,Φ36-40,HRB400E,永锋,3650,山东烟台,None,None
2026-05-16,螺纹钢,Φ36-40,HRB400E,石横特钢,3650,山东烟台,None,None
2026-05-16,螺纹钢,Φ36-40,HRB400E,江苏镔鑫,3620,山东烟台,None,None
2026-05-16,螺纹钢,Φ36-40,HRB500E,莱钢,3860,山东烟台,None,None
2026-05-16,螺纹钢,Φ36-40,HRB500E,永锋,3860,山东烟台,None,None
2026-05-16,螺纹钢,Φ36-40,HRB500E,石横特钢,3860,山东烟台,None,None
2026-05-16,螺纹钢,Φ36-40,HRB500E,江苏镔鑫,3830,山东烟台,None,None
2026-05-16,高线,Φ10,HPB300,永锋,3620,山东烟台,None,None
2026-05-16,高线,Φ10,HPB300,石横特钢,3620,山东烟台,None,None
2026-05-16,高线,Φ10,HPB300,江苏镔鑫,3580,山东烟台,None,None
2026-05-16,高线,Φ10,HPB300,永锋,3610,山东烟台,None,None
2026-05-16,高线,Φ10,HPB300,石横特钢,3610,山东烟台,None,None
2026-05-16,高线,Φ10,HPB300,江苏镔鑫,3570,山东烟台,None,None
2026-05-16,高线,Φ10,HPB300,永锋,3620,山东烟台,None,None
2026-05-16,高线,Φ10,HPB300,石横特钢,3620,山东烟台,None,None
2026-05-16,高线,Φ10,HPB300,江苏镔鑫,3580,山东烟台,None,None
2026-05-16,高线,Φ12,HPB300,永锋,3790,山东烟台,None,None
2026-05-16,高线,Φ12,HPB300,石横特钢,3790,山东烟台,None,None
2026-05-16,高线,Φ12,HPB300,永锋,3780,山东烟台,None,None
2026-05-16,高线,Φ12,HPB300,石横特钢,3780,山东烟台,None,None
2026-05-16,高线,Φ12,HPB300,永锋,3790,山东烟台,None,None
